Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Impact Parameter Lower,Planetary Radius,Stellar Effective Temperature,Stellar Surface Gravity Lower,Disposition Using Kepler Data
0.0,1,0,1,0,-0.911,17.47,5657.0,-0.152,1
1.0,0,0,0,0,-0.024,2.57,5349.0,-0.108,0
0.053,0,1,0,0,-0.064,13.28,5627.0,-0.18,1
1.0,0,0,0,0,-0.273,8.9,5485.0,-0.081,0
0.95,0,0,0,0,-0.43,0.79,5854.0,-0.11,0
0.745,0,0,0,0,-0.146,12.19,5485.0,-0.081,0
1.292882983041325,0,0,0,0,-0.3618,1.91,5485.0,-0.094,0
0.0,0,0,1,1,-0.101,25.69,5663.0,-0.204,1
0.0,0,0,1,1,-0.014,1.7,4667.0,-0.028,1
1.0,0,0,0,0,-0.037,11.3,5934.0,-0.195,0
1.0,0,0,0,0,-0.003,2.5,5170.0,-0.097,0
1.0,0,0,0,0,-0.26,3.41,4905.0,-0.044,0
1.0,0,0,0,0,-0.437,2.03,3950.0,-0.031,0
0.0,0,1,1,0,-0.349,30.26,5926.0,-0.216,1
1.0,0,0,0,0,-0.08,3.12,5775.0,-0.123,0
1.0,0,0,0,0,-0.46,1.7,5847.0,-0.018,0
0.998,0,0,0,0,-0.673,2.76,5775.0,-0.123,0
1.0,0,0,0,0,-0.663,4.02,5775.0,-0.123,0
0.99,0,0,0,0,-0.084,11.58,5150.0,-0.064,0
1.0,0,0,0,0,-0.031,7.61,5509.0,-0.15,0
1.0,0,0,0,0,-0.325,5.52,5973.0,-0.221,0
1.0,0,0,0,0,-0.416,1.8,3747.0,-0.025,0
0.995,0,0,0,0,-0.612,1.82,3747.0,-0.025,0
1.0,0,0,0,0,-0.468,2.1,3692.0,-0.039,0
0.0,0,1,0,0,-0.005,27.5,5575.0,-0.152,1
0.0,0,0,0,0,-0.07,30.09,6463.0,-0.163,0
0.0,0,1,1,1,-0.035,13.65,5514.0,-0.162,1
0.992,0,0,0,0,-0.173,2.89,5847.0,-0.018,0
1.0,0,0,0,0,-0.053,3.38,5601.0,-0.188,0
0.0,0,1,0,0,-0.011,10.34,5690.0,-0.16,1
0.789972056671793,0,0,0,0,-0.3164,72.77,6228.0,-0.272,0
1.0,0,0,0,0,-0.066,11.01,4986.0,-0.025,0
1.0,0,0,0,0,-0.047,2.11,4861.0,-0.041,0
1.0,0,0,0,0,-0.258,1.46,4861.0,-0.041,0
1.0,0,0,0,0,-0.46,2.44,5776.0,-0.168,0
0.037,0,0,1,0,-0.618,3.86,6108.0,-0.216,1
0.0,0,0,1,1,-0.135,26.25,5764.0,-0.184,1
1.0,0,0,0,0,-0.024,8.99,5035.0,-0.063,0
1.0,0,0,0,0,-0.543,5.0,5251.0,-0.085,0
0.998,0,0,0,0,-0.494,1.06,5847.0,-0.018,0
1.0,0,0,0,0,-0.043,6.5,5251.0,-0.085,0
0.006,0,1,0,0,-0.015,12.28,5810.0,-0.2,1
0.0,0,1,0,0,-0.009,17.61,5670.0,-0.154,1
0.0,0,1,0,0,-0.214,31.44,6046.0,-0.204,1
0.999,0,0,0,0,-0.008,7.89,5739.0,-0.108,0
0.996,0,0,0,0,-0.014,3.06,5739.0,-0.108,0
0.997,0,0,0,0,-0.235,2.32,5739.0,-0.108,0
1.0,0,0,0,0,-0.521,1.62,5739.0,-0.108,0
0.995,0,0,0,0,-0.196,1.53,5847.0,-0.018,0
0.989,0,0,0,0,-0.378,2.67,5739.0,-0.108,0
1.0,0,0,0,0,-0.048,2.35,4959.0,-0.06,0
0.878,0,0,0,0,-0.496,2.37,4959.0,-0.06,0
0.0,0,1,1,1,-0.115,17.06,4794.0,-0.032,1
1.0,0,0,0,0,-0.3,2.25,4768.0,-0.016,0
1.0,0,0,0,0,-0.003,1.48,4768.0,-0.016,0
0.0,0,1,0,0,-0.178,38.33,6072.0,-0.224,1
0.999,0,0,0,0,-0.045,8.24,5386.0,-0.104,0
