Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Orbital Period,Transit Duration Upper,Transit Depth,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Surface Gravity Upper ,Stellar Radius Upper,Disposition Using Kepler Data
1.0,0,0,0,0,6.575315881,0.0306,2790.0,5992.0,4.415,0.105,0.28,0
1.0,0,0,0,0,7.275040844,0.0681,3000.0,5485.0,4.556,0.028,0.187,0
1.0,0,0,0,0,19.27153892,0.0551,1220.0,4077.0,4.702,0.027,0.03,0
1.0,0,0,0,0,10.06524317,0.0393,1050.0,4077.0,4.702,0.027,0.03,0
1.0,0,0,0,0,12.3935651,0.0834,917.0,5557.0,4.603,0.034,0.152,0
0.998,0,0,0,0,43.84439721,0.119,615.0,5854.0,4.406,0.09,0.154,0
0.0,0,1,1,0,3.341913228,0.12,725.0,5295.0,4.551,0.049,0.133,1
0.773,0,0,1,0,1.626630225,0.0285,1620.0,5735.0,4.41,0.124,0.27,1
1.0,0,0,0,0,2.711504086,0.0423,838.0,6214.0,4.442,0.054,0.353,0
1.0,0,0,0,0,7.21203748,0.058,950.0,6214.0,4.442,0.054,0.353,0
0.6733926317490925,0,0,0,1,14.1798187,0.315,460.0,5799.0,4.539,0.027,0.333,1
1.0,0,0,0,0,8.47237911,0.0484,1120.0,5354.0,4.587,0.032,0.113,0
0.989,0,0,0,0,60.4189369,0.184,931.0,5354.0,4.587,0.032,0.113,0
1.0,0,0,0,0,12.61190435,0.0592,6110.0,5795.0,4.508,0.039,0.273,0
0.0,0,1,0,0,1.433769925,0.0232,1980.0,6017.0,4.22,0.156,0.23,1
0.0,0,1,1,0,10.31872301,0.121,872.0,5927.0,4.409,0.084,0.319,1
1.0,0,0,0,0,2.539183147,0.0559,382.0,5519.0,4.35,0.126,0.154,0
1.0,0,0,0,0,6.770300385,0.0454,1300.0,5653.0,4.656,0.028,0.112,0
0.0,0,1,1,1,0.444291966,0.0115,11000.0,5255.0,4.678,0.028,0.08,1
