Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Orbital Period,Impact Parameter,Transit Duration Upper,Transit Duration Lower ,Planetary Radius Lower,Insolation Flux,TCE Delivery,Stellar Effective Temperature,Stellar Effective Temperature Lower,Stellar Surface Gravity,Stellar Surface Gravity Upper ,Stellar Radius,Stellar Radius Lower,Kepler-band,Disposition Using Kepler Data
0.0,0,1,1,0,2.701287801,1.016,0.0892,-0.0892,-0.75,527.81,0.0,5550.0,-182.0,4.468,0.091,0.91,-0.105,15.54,1
1.0,0,0,0,0,4.49876511,0.312,0.0934,-0.0934,-0.22,389.62,0.0,6075.0,-210.0,4.486,0.052,0.969,-0.1,15.395,0
0.0,0,1,0,0,19.65120951,0.723,0.0179,-0.0179,-1.69,67.03,0.0,6074.0,-210.0,4.391,0.09,1.063,-0.144,15.536,1
1.0,0,0,0,0,5.412203927,0.787,0.024,-0.024,-0.38,337.68,0.0,5779.0,-115.0,4.339,0.132,1.087,-0.142,12.791,0
0.998,0,0,0,0,41.43958662,0.355,0.088,-0.088,-0.96,16.72,0.0,5468.0,-164.0,4.367,0.153,1.046,-0.183,15.4,0
1.0,0,0,0,0,8.35389523,0.023,0.0518,-0.0518,-0.24,91.9,0.0,5592.0,-152.0,4.582,0.036,0.787,-0.073,15.317,0
1.0,0,0,0,0,4.125543472,0.597,0.0362,-0.0362,-0.51,565.35,0.0,6174.0,-239.0,4.417,0.056,1.103,-0.128,15.506,0
1.0,0,0,0,0,2.816504904,0.105,0.00666,-0.00666,-0.87,521.13,0.0,5532.0,-83.0,4.452,0.063,0.955,-0.068,15.052,0
0.0,0,1,1,0,33.93373447,0.812,0.104,-0.104,-0.6,8.11,0.0,5040.0,-151.0,4.628,0.03,0.705,-0.058,15.716,1
1.0,0,0,0,0,3.689920099,0.151,0.0677,-0.0677,-0.2,408.99,0.0,5880.0,-192.0,4.518,0.046,0.917,-0.098,15.242,0
1.0,0,0,0,0,4.431238488,0.405,0.0423,-0.0423,-0.25,351.23,0.0,5714.0,-77.0,4.428,0.063,1.015,-0.079,15.367,0
1.0,0,0,0,0,11.37936986,0.911,0.073,-0.073,-0.31,99.68,0.0,5714.0,-77.0,4.428,0.063,1.015,-0.079,15.367,0
1.0,0,0,0,0,26.39432897,0.602,0.0643,-0.0643,-0.22,13.49,0.0,5129.0,-154.0,4.595,0.03,0.763,-0.055,15.234,0
1.0,0,0,0,0,13.57078281,0.866,0.0489,-0.0489,-0.27,89.61,0.0,5854.0,-117.0,4.406,0.09,1.012,-0.103,12.882,0
1.0,0,0,0,0,7.12594387,0.898,0.0384,-0.0384,-0.23,233.31,0.0,5779.0,-115.0,4.339,0.132,1.087,-0.142,12.791,0
0.014,0,1,0,0,7.442652004,0.137,0.0129,-0.0129,-1.58,206.78,0.0,6108.0,-201.0,4.469,0.07,0.956,-0.1,15.27,1
1.0,0,0,0,0,16.38489988,0.001,0.0798,-0.0798,-0.1,8.35,0.0,4126.0,-82.0,4.661,0.022,0.615,-0.029,15.095,0
1.0,0,0,0,0,7.8774163,0.041,0.0517,-0.0517,-0.11,22.18,0.0,4126.0,-82.0,4.661,0.022,0.615,-0.029,15.095,0
1.0,0,0,0,0,36.4454001,0.028,0.126,-0.126,-0.09,2.88,0.0,4126.0,-82.0,4.661,0.022,0.615,-0.029,15.095,0
1.0,0,0,0,0,3.728732147,0.558,0.035,-0.035,-0.52,258.34,0.0,5497.0,-149.0,4.577,0.034,0.809,-0.07,15.523,0
0.999,0,0,0,0,40.4195037,0.911,0.14,-0.14,-0.91,11.29,0.0,5446.0,-163.0,4.507,0.116,0.781,-0.095,15.487,0
1.0,0,0,0,0,2.243380573,0.915,0.0384,-0.0384,-0.12,107.6,0.0,4149.0,-91.0,4.698,0.024,0.564,-0.033,15.135,0
0.0,0,1,0,0,10.40599802,0.324,0.0145,-0.0145,-1.95,113.94,0.0,5746.0,-173.0,4.393,0.18,0.924,-0.16,15.562,1
1.0,0,0,0,0,2.337437946,0.28,0.0271,-0.0271,-0.09,311.16,0.0,5005.0,-79.0,4.595,0.012,0.765,-0.028,15.334,0
0.993,0,0,0,0,7.2406612,1.198,0.171,-0.171,-0.71,68.63,0.0,5005.0,-79.0,4.595,0.012,0.765,-0.028,15.334,0
0.871,0,0,0,0,3.43591631,0.624,0.407,-0.407,-0.07,617.61,0.0,5779.0,-115.0,4.339,0.132,1.087,-0.142,12.791,0
1.0,0,0,0,0,11.59822233,0.679,0.052,-0.052,-0.29,5.82,0.0,3688.0,-91.0,4.79,0.05,0.473,-0.051,15.937,0
1.0,0,0,0,0,6.575315881,0.39,0.0306,-0.0306,-0.81,251.38,0.0,5992.0,-180.0,4.415,0.105,0.989,-0.151,15.312,0
1.0,0,0,0,0,7.275040844,0.547,0.0681,-0.0681,-0.37,113.64,0.0,5485.0,-180.0,4.556,0.028,0.867,-0.067,15.08,0
1.0,0,0,0,0,19.27153892,0.031,0.0551,-0.0551,-0.12,5.66,0.0,4077.0,-81.0,4.702,0.027,0.56,-0.034,15.385,0
1.0,0,0,0,0,10.06524317,0.628,0.0393,-0.0393,-0.12,13.43,0.0,4077.0,-81.0,4.702,0.027,0.56,-0.034,15.385,0
1.0,0,0,0,0,12.3935651,0.883,0.0834,-0.0834,-0.23,49.68,0.0,5557.0,-166.0,4.603,0.034,0.75,-0.065,15.505,0
0.998,0,0,0,0,43.84439721,0.852,0.119,-0.119,-0.3,18.77,0.0,5854.0,-117.0,4.406,0.09,1.012,-0.103,12.882,0
0.0,0,1,1,0,3.341913228,1.213,0.12,-0.12,-1.89,268.67,0.0,5295.0,-159.0,4.551,0.049,0.811,-0.071,15.629,1
0.773,0,0,1,0,1.626630225,1.26,0.0285,-0.0285,-4.83,1355.88,0.0,5735.0,-172.0,4.41,0.124,0.973,-0.145,15.279,1
1.0,0,0,0,0,2.711504086,0.023,0.0423,-0.0423,-0.34,960.79,0.0,6214.0,-239.0,4.442,0.054,1.076,-0.118,15.541,0
