Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Impact Parameter,mpact Parameter Upper,Impact Parameter Lower,Transit Duration Upper,Transit Depth Upper,Planetary Radius Lower,Equilibrium Temperature,Insolation Flux Lower ,TCE Planet Number,Stellar Effective Temperature,Stellar Effective Temperature Upper,Stellar Radius,Disposition Using Kepler Data
0.0,1,0,0,1,0.762,4.554052311531414,-0.458,0.4287211131707503,153.8543268917024,-0.01,1554.0,-285.73,1.0,5000.0,150.0,0.549,1
0.972,0,0,0,0,0.0,0.451,0.0,0.155,22.0,-0.09,806.0,-24.03,1.0,5296.0,159.0,0.799,0
0.0,0,1,0,0,0.579,0.027,-0.048,0.0326,54.6,-2.77,1288.0,-242.01,1.0,8347.0,226.0,1.715,1
0.0,0,1,1,1,1.241,0.54,-0.09,0.228,9.6,-1.95,1532.0,-325.04,1.0,5718.0,153.0,0.863,1
0.99,0,0,0,0,0.299,0.151,-0.299,0.127,16.5,-0.09,1031.0,-72.54,1.0,4935.0,147.0,0.685,0
0.968,0,0,0,0,0.39,0.062,-0.39,0.16,20.2,-0.09,645.0,-11.16,1.0,4234.0,128.0,0.639,0
0.893,0,0,0,0,0.429,0.06,-0.405,0.155,10.2,-0.2,1490.0,-391.39,1.0,5624.0,76.0,1.248,0
1.0,0,0,0,0,0.015,0.375,-0.015,0.0767,10.1,-0.28,708.0,-18.05,1.0,5747.0,115.0,1.099,0
0.0,0,1,1,0,1.225,1.051,-0.137,0.0186,92.0,0.0,833.0,0.0,1.0,5780.0,127.87141551111227,1.0,1
1.0,0,0,0,0,0.683,0.046,-0.48,0.0488,7.2,-0.07,738.0,-11.12,1.0,4908.0,98.0,0.782,0
0.999,0,0,0,0,0.7,0.243,-0.473,0.122,5.6,-0.03,968.0,-32.87,2.0,4908.0,98.0,0.782,0
1.0,0,0,0,0,0.713,0.183,-0.47,0.0336,4.4,-0.31,1662.0,-611.67,1.0,6078.0,121.0,1.189,0
1.0,0,0,0,0,0.956,0.025,-0.683,0.139,8.6,-0.38,891.0,-50.54,2.0,6078.0,121.0,1.189,0
0.0,0,1,0,0,1.231,6.865,-0.383,0.532,75.6,-2.81,327.0,-0.82,1.0,6008.0,168.0,0.93,1
0.989,0,0,0,0,0.714,0.057,-0.507,0.128,70.4,-0.1,503.0,-3.12,1.0,5267.0,156.0,0.632,0
1.0,0,0,0,0,0.058,0.402,-0.058,0.139,3.4,-0.2,1510.0,-496.01,1.0,5758.0,78.0,1.385,0
0.984,0,0,0,0,0.499,0.443,-0.284,0.18,4.2,-0.23,1324.0,-293.04,2.0,5758.0,78.0,1.385,0
0.0,0,0,1,1,0.013,0.448,-0.013,0.248,17.8,-0.09,843.0,-31.98,1.0,4266.0,128.0,0.643,1
0.997,0,0,0,0,0.744,0.194,-0.514,0.146,55.5,-0.29,557.0,-6.57,1.0,5815.0,163.0,0.877,0
0.971,0,0,0,0,0.966,0.027,-0.696,0.125,4.5,-0.31,758.0,-26.86,2.0,5931.0,107.0,1.101,0
1.0,0,0,0,0,0.024,0.426,-0.024,0.144,33.6,-0.19,785.0,-25.95,2.0,5815.0,163.0,0.877,0
0.0,0,0,1,0,0.727,0.252,-0.502,0.223,30.7,-0.12,751.0,-20.81,1.0,5318.0,186.0,0.667,1
0.0,0,0,1,0,0.489,0.44,-0.297,0.0534,19.4,-0.14,1974.0,-931.7,1.0,5508.0,180.0,0.84,1
0.962,0,0,0,0,0.052,0.412,-0.052,0.474,29.0,-0.25,718.0,-19.72,1.0,6468.0,180.0,1.25,0
0.858,0,0,0,0,0.928,0.011,-0.645,0.111,77.7,-0.19,420.0,-2.18,1.0,3675.0,73.0,0.398,0
1.0,0,0,0,0,0.706,0.058,-0.491,0.124,36.5,-0.11,798.0,-21.67,2.0,4805.0,144.0,0.688,0
0.858,0,0,0,0,0.01,0.461,-0.01,0.127,20.5,-0.07,1331.0,-167.1,3.0,4805.0,144.0,0.688,0
0.768,0,0,0,0,0.398,0.077,-0.398,0.695,13.3,-0.31,597.0,-11.4,1.0,5675.0,76.0,1.292,0
0.0,0,1,0,0,0.21,0.026,-0.045,0.0292,32.3,-1.95,676.0,-13.3,2.0,5769.0,104.0,1.177,1
1.0,0,0,0,0,0.188,0.237,-0.188,0.0301,10.5,-0.26,890.0,-35.38,1.0,5497.0,109.0,0.941,0
1.0,0,0,0,0,0.135,0.298,-0.135,0.0457,9.4,-0.17,1024.0,-62.25,2.0,5497.0,109.0,0.941,0
1.0,0,0,0,0,0.384,0.002,-0.384,0.0213,3.9,-0.48,1201.0,-182.3,1.0,5794.0,105.0,1.225,0
1.0,0,0,0,0,0.513,0.013,-0.495,0.0291,3.1,-0.34,1597.0,-569.52,2.0,5794.0,105.0,1.225,0
0.0,0,0,1,0,0.953,0.009,-0.693,0.0801,4.5,-0.16,1837.0,-935.14,1.0,6220.0,172.0,1.108,1
1.0,0,0,0,0,0.904,0.003,-0.651,0.045,4.5,-0.1,863.0,-18.64,1.0,6147.0,73.0,1.04,0
0.987,0,0,0,0,0.365,0.092,-0.365,0.117,11.9,-0.14,1610.0,-504.68,1.0,6119.0,211.0,0.981,0
0.254,0,0,0,0,0.928,0.051,-0.627,0.169,28.7,-0.23,725.0,-21.65,1.0,5142.0,179.0,0.789,0
0.999,0,0,0,0,0.741,0.228,-0.53,0.133,27.9,-0.13,1017.0,-68.07,1.0,5516.0,149.0,0.827,0
0.977,0,0,0,0,0.264,0.189,-0.264,0.485,3.8,-0.14,1209.0,-174.16,1.0,6296.0,113.0,1.444,0
0.981,0,0,0,0,0.983,0.079,-0.771,0.114,27.6,-0.18,807.0,-20.11,1.0,5135.0,84.0,0.874,0
1.0,0,0,0,0,0.093,0.345,-0.093,0.32,21.0,-0.27,833.0,-42.35,1.0,6572.0,187.0,1.238,0
0.0,1,0,1,1,1.24,0.345,-0.164,0.0736,11.0,-3.01,1703.0,-618.35,1.0,6091.0,189.0,0.967,1
0.999,0,0,0,0,0.332,0.115,-0.332,0.125,15.6,-0.11,1810.0,-775.66,1.0,5837.0,177.0,0.843,0
0.997,0,0,0,0,0.42,0.028,-0.42,0.422,13.4,-0.62,682.0,-23.45,1.0,5430.0,81.0,1.902,0
1.0,0,0,0,0,0.315,0.123,-0.315,0.0396,2.4,-0.21,1211.0,-92.88,1.0,6150.0,73.0,2.086,0
0.014,0,0,1,0,0.461,0.515,-0.254,0.223,29.3,-0.22,912.0,-53.14,1.0,6355.0,172.0,1.108,1
1.0,0,0,0,0,0.015,0.412,-0.015,0.0565,5.2,-0.66,742.0,-30.34,2.0,5866.0,105.0,1.417,0
1.0,0,0,0,0,0.429,0.093,-0.184,0.101,11.7,-1.6,332.0,-1.22,1.0,5866.0,105.0,1.417,0
0.998,0,0,0,0,0.011,0.437,-0.011,0.16,7.2,-0.29,582.0,-10.07,3.0,5794.0,105.0,1.225,0
0.0,0,1,0,0,0.621,0.055,-0.159,0.0875,596.0,-1.7,1064.0,-84.91,1.0,5231.0,203.0,0.821,1
1.0,0,0,0,0,0.028,0.335,-0.028,0.0376,10.6,-0.14,488.0,-2.25,1.0,5607.0,101.0,0.863,0
1.0,0,0,0,0,0.658,0.031,-0.454,0.0413,11.3,-0.19,453.0,-1.98,1.0,4883.0,97.0,0.749,0
1.0,0,0,0,0,0.768,0.15,-0.524,0.0614,22.2,-0.11,620.0,-5.26,1.0,5103.0,102.0,0.768,0
0.989,0,0,0,0,0.116,0.351,-0.116,0.222,5.1,-0.11,975.0,-56.26,1.0,6231.0,112.0,1.356,0
0.0,0,0,1,0,1.258,0.693,-0.235,0.073,7.6,-3.47,2397.0,-2601.69,1.0,6290.0,175.0,1.044,1
0.0,0,1,1,1,0.527,0.022,-0.457,0.0805,11.0,-0.12,2046.0,-1138.81,1.0,5793.0,155.0,0.832,1
0.508,0,0,0,0,0.624,0.02,-0.486,0.407,30.9,-0.29,538.0,-6.4,3.0,5596.0,83.0,1.145,0
0.0,0,0,1,0,0.436,0.03,-0.436,0.0968,6.5,-0.82,3257.0,-16907.16,1.0,6854.0,184.0,2.715,1
1.0,0,0,0,0,0.094,0.37,-0.094,0.15,21.8,-0.1,822.0,-26.06,1.0,5383.0,159.0,0.759,0
0.887,0,0,0,0,0.032,0.422,-0.032,0.226,67.4,-0.15,505.0,-3.66,1.0,5165.0,170.0,0.761,0
0.0,0,1,1,1,1.191,69.31,-0.451,0.642,39.1,-1.36,438.0,-2.58,1.0,4947.0,222.0,0.714,1
0.919,0,0,0,0,0.869,0.057,-0.584,0.0481,2.6,-0.22,1069.0,-106.48,1.0,5931.0,107.0,1.101,0
0.378,1,0,0,0,0.008,0.435,-0.008,0.519,8.3,-0.47,479.0,-5.6,3.0,5676.0,115.0,1.487,1
0.992,0,0,0,0,0.007,0.452,-0.007,0.158,14.1,-0.07,851.0,-28.03,1.0,4889.0,146.0,0.686,0
1.0,0,0,0,0,0.011,0.431,-0.011,0.315,24.3,-0.33,539.0,-8.02,1.0,5741.0,171.0,1.097,0
0.0,0,0,1,0,0.763,0.097,-0.52,0.0385,5.3,-0.53,1860.0,-1376.35,1.0,6958.0,196.0,1.529,1
0.995,0,0,0,0,0.561,0.02,-0.455,0.0784,6.1,-0.61,663.0,-20.03,1.0,5611.0,114.0,1.4,0
1.0,0,0,0,0,0.896,0.029,-0.626,0.0697,6.6,-0.46,1041.0,-121.84,2.0,5611.0,114.0,1.4,0
0.972,0,0,0,0,0.97,0.006,-0.725,0.108,48.1,-0.77,721.0,-22.03,3.0,6172.0,74.0,1.471,0
0.0,0,1,0,0,0.116,0.039,-0.078,0.0232,14.2,-1.57,466.0,-3.86,1.0,5843.0,182.0,1.073,1
1.0,0,0,0,0,0.349,0.077,-0.349,0.0265,3.3,-0.16,1328.0,-198.83,1.0,5780.0,103.0,0.966,0
0.351,0,1,0,0,0.982,8.15,-0.098,0.0303,202.0,-4.6,1458.0,-483.51,1.0,6116.0,212.0,1.055,1
1.0,0,0,0,0,0.77,0.006,-0.557,0.0706,14.7,-0.13,423.0,-1.13,1.0,4687.0,93.0,0.69,0
1.0,0,0,0,0,0.021,0.411,-0.021,0.0323,10.9,-0.34,776.0,-26.28,1.0,5725.0,104.0,1.072,0
0.917,0,0,0,0,0.923,0.053,-0.638,0.0891,30.0,-0.21,714.0,-17.78,2.0,5017.0,151.0,0.797,0
0.983,0,0,0,0,0.068,0.37,-0.068,0.0416,10.6,-0.2,790.0,-22.9,1.0,5787.0,104.0,1.027,0
0.0,0,0,0,0,0.02,0.136,-0.02,0.0319,25.3,-1.45,294.0,-0.55,1.0,5970.0,107.0,1.2,0
1.0,0,0,0,0,0.956,0.002,-0.744,0.128,13.0,-0.16,808.0,-27.32,1.0,6038.0,163.0,0.898,0
0.0,0,0,1,1,0.256,0.203,-0.256,0.421,6.8,-0.05,1229.0,-155.95,1.0,5024.0,227.0,0.736,1
1.0,0,0,0,0,0.013,0.278,-0.013,0.0195,2.4,-0.14,866.0,-20.33,1.0,6407.0,76.0,1.337,0
1.0,0,0,0,0,0.606,0.18,-0.41,0.052,3.1,-0.09,797.0,-9.89,1.0,5671.0,111.0,1.36,0
0.9,0,0,0,0,0.579,0.345,-0.358,0.166,86.5,-0.18,233.0,-0.18,1.0,3952.0,86.0,0.553,0
0.996,0,0,0,0,0.238,0.196,-0.238,0.164,5.5,-0.28,1789.0,-876.37,1.0,5282.0,84.0,1.899,0
0.0,0,0,1,0,0.919,0.034,-0.644,0.0873,12.1,-0.33,1154.0,-174.42,1.0,5933.0,160.0,1.118,1
0.933,0,0,0,0,0.669,0.289,-0.435,0.182,18.9,-1.76,741.0,-61.97,1.0,5011.0,134.0,1.781,0
0.0,0,0,0,0,0.577,0.046,-0.464,0.392,53.1,-0.21,526.0,-5.36,1.0,5141.0,153.0,0.806,0
0.994,0,0,0,0,0.234,0.221,-0.234,0.103,19.3,-0.09,818.0,-26.31,1.0,5462.0,163.0,0.836,0
0.0,0,0,1,0,1.312,4.651,-0.148,0.0854,46.2,-2.38,1503.0,-320.86,1.0,5337.0,185.0,0.764,1
0.0,0,0,1,1,0.014,0.442,-0.014,0.101,3.5,-0.42,1587.0,-794.14,1.0,6591.0,169.0,1.646,1
0.552,0,0,0,0,0.5,0.453,-0.297,0.552,9.0,-0.11,801.0,-29.51,4.0,6249.0,174.0,1.076,0
0.59,0,0,0,0,0.017,0.388,-0.017,0.0692,9.3,-0.48,652.0,-15.99,1.0,5929.0,107.0,1.363,0
1.0,0,0,0,0,0.72,0.119,-0.489,0.0378,4.1,-0.22,1105.0,-99.11,1.0,5923.0,107.0,1.054,0
0.958,0,0,0,0,0.828,0.0,-0.592,0.0895,6.5,-0.14,892.0,-42.12,2.0,5923.0,107.0,1.054,0
1.0,0,0,0,0,0.778,0.026,-0.536,0.0637,8.0,-0.37,623.0,-11.5,1.0,5725.0,114.0,1.088,0
0.88,0,0,0,0,0.002,0.172,-0.002,0.0347,18.5,-1.03,342.0,-1.01,2.0,5970.0,107.0,1.2,0
0.889,0,0,0,0,0.9,0.042,-0.61,0.219,173.0,-0.16,237.0,-0.12,5.0,3891.0,70.0,0.564,0
0.999,0,0,0,0,0.005,0.413,-0.005,0.0951,13.3,-0.38,520.0,-5.4,3.0,5970.0,107.0,1.2,0
0.0,0,1,1,0,0.387,0.009,-0.352,0.0316,81.5,0.0,1212.0,0.0,1.0,5780.0,207.75197705601568,1.0,1
1.0,0,0,0,0,0.915,0.009,-0.637,0.1,11.2,-0.64,703.0,-23.34,1.0,5857.0,105.0,1.305,0
1.0,0,0,0,0,0.878,0.007,-0.009,0.0927,36.2,-2.43,458.0,-4.38,1.0,6200.0,124.0,1.64,0
0.989,0,0,0,0,0.682,0.039,-0.493,0.161,16.2,-0.6,780.0,-37.1,2.0,6200.0,124.0,1.64,0
0.0,0,1,1,0,1.263,0.224,-0.117,0.07,24.4,-3.02,2185.0,-1576.53,3.0,5853.0,163.0,0.895,1
0.987,0,0,0,0,0.093,0.376,-0.093,0.132,19.3,-0.26,1238.0,-195.42,1.0,6415.0,177.0,1.224,0
1.0,0,0,0,0,0.604,0.338,-0.387,0.251,47.3,-0.14,596.0,-7.4,1.0,5380.0,160.0,0.721,0
0.0,0,0,0,1,0.53,0.415,-0.31,0.185,7.7,-0.32,1747.0,-1106.29,1.0,5701.0,172.0,1.068,1
1.0,0,0,0,0,0.025,0.416,-0.025,0.147,50.5,-0.26,565.0,-6.73,1.0,5858.0,157.0,0.849,0
0.0,0,1,1,0,0.604,0.038,-0.491,0.123,4.8,-0.1,2240.0,-1722.7,1.0,6050.0,163.0,0.92,1
0.0,1,0,1,0,0.68,9.674063779617368,-0.0765,0.6986842414698293,2.8355655327155542,-0.12,215.0,-0.11,2.0,5316.0,106.0,0.872,1
0.983,0,0,0,0,0.14,0.326,-0.14,0.147,5.2,-0.23,1167.0,-222.17,1.0,5702.0,189.0,1.125,0
1.0,0,0,0,0,0.249,0.21,-0.249,0.234,11.9,-0.13,1356.0,-256.68,1.0,6173.0,193.0,1.041,0
0.0,0,0,1,0,0.054,0.405,-0.054,0.62,35.0,-0.08,515.0,-3.74,1.0,5517.0,163.0,0.704,1
0.998,0,0,0,0,0.775,0.047,-0.543,0.0544,2.5,-0.19,1082.0,-111.84,3.0,5931.0,107.0,1.101,0
0.0,0,0,1,1,0.74,0.232,-0.515,0.198,11.0,-0.83,2945.0,-10443.48,1.0,9206.0,251.0,2.157,1
0.983,0,0,0,0,0.314,0.148,-0.314,0.142,11.5,-0.03,807.0,-12.11,2.0,5382.0,80.0,0.827,0
1.0,0,0,0,0,0.906,0.005,-0.636,0.045,3.9,-0.3,1248.0,-193.75,1.0,6085.0,108.0,1.463,0
1.0,0,0,0,0,0.846,0.019,-0.649,0.0572,8.4,-0.1,564.0,-4.66,1.0,5250.0,105.0,0.79,0
0.915,0,0,0,0,0.954,0.012,-0.664,0.115,11.6,-0.11,397.0,-1.14,2.0,5250.0,105.0,0.79,0
1.0,0,0,0,0,0.362,0.067,-0.362,0.0213,3.7,-0.28,1592.0,-492.42,1.0,5533.0,110.0,1.089,0
0.0,0,1,0,0,0.755,0.004,-0.006,0.0231,53.9,0.0,981.0,0.0,1.0,5780.0,81.9204015884315,1.0,1
0.0,0,0,1,1,0.721,0.085,-0.262,0.0955,2.4,-0.65,1740.0,-1246.33,1.0,5947.0,178.0,1.796,1
1.0,0,0,0,0,0.526,0.016,-0.429,0.047,7.9,-0.12,721.0,-11.33,1.0,5936.0,94.0,0.965,0
0.998,0,0,0,0,0.513,0.028,-0.461,0.137,6.4,-0.06,933.0,-31.66,2.0,5936.0,94.0,0.965,0
1.0,0,0,0,0,0.016,0.386,-0.016,0.028,4.6,-0.36,1247.0,-192.98,1.0,6045.0,121.0,1.298,0
1.0,0,0,0,0,0.033,0.239,-0.033,0.00799,5.0,-3.56,1877.0,-2509.08,1.0,5311.0,159.0,1.769,0
0.0,0,1,0,0,0.617,0.001,-0.001,0.00244,14.9,-5.84,762.0,-30.77,1.0,5926.0,70.0,1.351,1
1.0,0,0,0,0,0.044,0.427,-0.044,0.147,4.9,-0.06,1129.0,-110.97,2.0,5115.0,154.0,0.854,0
0.0,0,0,1,0,0.587,0.37,-0.387,0.265,10.5,-0.14,686.0,-14.16,1.0,5605.0,101.0,1.015,1
0.996,0,0,0,0,0.925,0.049,-0.698,0.149,7.4,-0.2,854.0,-42.56,1.0,5721.0,103.0,1.131,0
0.0,0,0,1,0,0.235,0.22,-0.235,0.215,15.8,-0.14,780.0,-26.68,1.0,6065.0,180.0,0.962,1
1.0,0,0,0,0,0.577,0.053,-0.417,0.0409,3.7,-0.12,663.0,-5.82,1.0,5903.0,70.0,1.137,0
0.983,0,0,0,0,0.643,0.306,-0.423,0.506,35.4,-0.66,826.0,-44.51,1.0,5902.0,70.0,1.513,0
0.94,0,0,0,0,0.906,0.029,-0.623,0.658,14.4,-0.92,552.0,-9.67,3.0,6366.0,116.0,1.697,0
0.963,0,0,0,0,0.449,0.512,-0.255,0.22,5.1,-0.05,867.0,-26.74,1.0,5843.0,104.0,1.084,0
0.979,0,0,0,0,0.32,0.137,-0.32,0.527,4.8,-0.04,1021.0,-51.4,3.0,5843.0,104.0,1.084,0
0.673,0,0,0,0,0.006,0.455,-0.006,0.385,4.1,-0.04,928.0,-35.11,2.0,5843.0,104.0,1.084,0
0.0,0,0,1,1,0.781,0.186,-0.584,0.21,11.8,-0.08,1446.0,-269.86,1.0,5769.0,155.0,0.812,1
0.0,0,0,1,1,0.468,0.491,-0.271,0.148,6.0,-0.08,1093.0,-88.04,1.0,5706.0,156.0,0.886,1
1.0,0,0,0,0,0.516,0.417,-0.314,0.0611,21.2,-0.16,501.0,-2.83,2.0,4963.0,81.0,0.826,0
1.0,0,0,0,0,0.716,0.053,-0.501,0.0546,16.7,-0.73,904.0,-62.35,1.0,6032.0,189.0,1.06,0
1.0,0,0,0,0,0.594,0.003,-0.488,0.047,21.2,-0.28,734.0,-16.83,1.0,5862.0,158.0,0.844,0
0.989,0,0,0,0,0.885,0.008,-0.014,0.0815,30.2,-0.46,497.0,-2.64,1.0,5768.0,78.0,1.015,0
1.0,0,0,0,0,0.05,0.44,-0.05,0.145,18.2,-0.18,549.0,-3.9,2.0,5768.0,78.0,1.015,0
0.189,1,0,0,0,0.712,0.255,-0.498,1.8,14.9,-0.14,610.0,-9.2,2.0,6007.0,108.0,1.126,1
0.999,0,0,0,0,0.757,0.009,-0.542,0.103,13.6,-0.11,678.0,-9.65,2.0,4963.0,79.0,0.826,0
0.0,0,0,1,1,0.615,0.089,-0.445,0.0329,2.4,-1.64,3274.0,-19066.16,1.0,5812.0,175.0,3.227,1
1.0,0,0,0,0,0.653,0.066,-0.471,0.0778,17.4,-0.3,683.0,-16.17,1.0,6242.0,168.0,1.047,0
0.0,0,1,1,1,0.932,0.039,-0.018,0.176,120.0,-1.63,332.0,-1.05,1.0,5646.0,112.0,1.153,1
0.926,0,0,0,0,0.639,0.289,-0.418,0.178,26.1,-0.33,473.0,-4.38,1.0,5244.0,203.0,0.888,0
0.047,1,0,0,0,0.062,0.381,-0.062,0.579,9.0,-0.03,304.0,-0.12,1.0,5619.0,93.0,1.406,1
1.0,0,0,0,0,0.479,0.029,-0.038,0.0122,20.1,-1.77,1017.0,-90.99,1.0,5359.0,175.0,0.915,0
0.0,0,0,0,0,0.717,0.011,-0.014,0.0619,92.8,-1.92,216.0,-0.17,1.0,6230.0,169.0,1.047,0
1.0,0,0,0,0,0.065,0.033,-0.065,0.00815,18.3,-3.03,873.0,-58.19,1.0,6266.0,125.0,1.522,0
0.0,0,1,0,0,1.065,0.317,-0.126,0.00892,68.2,-2.67,1577.0,-412.53,1.0,6202.0,187.0,0.858,1
0.999,0,0,0,0,0.21,0.241,-0.21,0.099,3.8,-0.08,927.0,-41.06,4.0,5465.0,109.0,0.925,0
0.174,1,0,0,0,0.336,0.127,-0.336,1.0,37.3,-0.13,292.0,-0.43,5.0,5600.0,112.0,0.872,1
1.0,465,0,0,0,0.329,0.119,-0.329,0.083,23.1,-0.21,611.0,-8.74,1.0,5215.0,173.0,0.867,0
1.0,0,0,0,0,0.724,0.145,-0.504,0.0241,27.4,-0.19,429.0,-1.77,1.0,3744.0,75.0,0.537,0
1.0,0,0,0,0,0.065,0.305,-0.065,0.0482,14.5,-0.26,526.0,-4.14,1.0,5515.0,109.0,0.925,0
1.0,0,0,0,0,0.547,0.371,-0.337,0.0295,9.8,-0.24,1009.0,-66.17,1.0,5480.0,164.0,0.865,0
1.0,0,0,0,0,0.014,0.323,-0.014,0.0222,10.7,-0.18,772.0,-19.92,1.0,5409.0,162.0,0.746,0
0.425,0,0,0,0,0.319,0.137,-0.319,0.173,6.0,-0.02,887.0,-32.07,4.0,4729.0,143.0,0.525,0
1.0,0,0,0,0,0.02,0.322,-0.02,0.0192,11.2,-0.2,924.0,-42.17,1.0,5351.0,159.0,0.796,0
0.0,0,0,0,0,0.027,0.411,-0.027,0.0336,25.0,-0.89,873.0,-63.99,1.0,5770.0,156.0,1.152,0
1.0,0,0,0,0,0.049,0.281,-0.049,0.0168,1.9,-0.15,1246.0,-93.4,1.0,6181.0,68.0,1.424,0
1.0,0,0,0,0,0.001,0.309,-0.001,0.0122,7.1,-0.26,1365.0,-226.9,1.0,5703.0,154.0,0.975,0
0.0,0,1,1,1,0.978,0.041,-0.721,0.275,9.9,-0.12,756.0,-18.75,1.0,5834.0,157.0,0.774,1
0.879,0,0,0,0,0.038,0.411,-0.038,0.503,17.2,-0.12,994.0,-69.25,2.0,6347.0,170.0,0.996,0
1.0,0,0,0,0,0.553,0.037,-0.381,0.0434,7.6,-0.63,1069.0,-120.95,1.0,6026.0,190.0,1.108,0
1.0,0,0,0,0,0.502,0.069,-0.422,0.0369,7.4,-0.08,1166.0,-72.72,1.0,5103.0,101.0,0.787,0
1.0,0,0,0,0,0.76,0.0,-0.55,0.042,10.6,-0.08,948.0,-31.66,2.0,5103.0,101.0,0.787,0
1.0,0,0,0,0,0.514,0.365,-0.297,0.0406,12.6,-0.25,932.0,-49.58,1.0,5822.0,140.0,0.898,0
1.0,0,0,0,0,0.022,0.345,-0.022,0.0259,15.0,-0.31,888.0,-40.87,1.0,5713.0,138.0,0.893,0
0.676,0,0,0,0,0.467,0.494,-0.259,0.332,3.4,-0.12,849.0,-41.93,3.0,5888.0,105.0,1.227,0
0.0,0,1,1,0,0.911,0.15,-0.063,0.0328,139.0,-1.6,1033.0,-83.78,1.0,5936.0,176.0,0.965,1
1.0,0,0,0,0,0.786,0.035,-0.549,0.0665,17.3,-0.73,805.0,-42.58,1.0,6072.0,168.0,1.138,0
1.0,0,0,0,0,0.435,0.268,-0.297,0.0407,28.8,-0.5,586.0,-7.5,1.0,5312.0,79.0,0.986,0
1.0,0,0,0,0,0.013,0.42,-0.013,0.0898,25.2,-0.35,487.0,-3.57,2.0,5312.0,79.0,0.986,0
0.995,0,0,0,0,0.188,0.257,-0.188,0.209,37.4,-0.32,349.0,-0.93,3.0,5312.0,79.0,0.986,0
0.001,1,0,0,0,0.287,0.192,-0.287,0.874,313.0,-0.23,214.0,-0.14,2.0,5284.0,185.0,0.812,1
1.0,0,0,0,0,0.016,0.286,-0.015,0.0161,6.6,-0.12,1313.0,-167.41,2.0,5409.0,162.0,0.746,0
1.0,0,0,0,0,0.008,0.404,-0.008,0.0553,16.8,-0.19,468.0,-2.7,3.0,5409.0,162.0,0.746,0
0.0,1,0,0,0,0.014,0.214,-0.014,0.0271,8.5,-1.71,1481.0,-464.56,2.0,9974.0,275.0,2.533,1
0.0,0,1,1,0,1.232,22.92,-0.233,0.0878,15.7,-3.8,1051.0,-98.17,1.0,5724.0,152.0,0.951,1
1.0,0,0,0,0,0.594,0.02,-0.463,0.0367,10.6,-0.2,978.0,-54.81,1.0,5631.0,152.0,0.847,0
0.122,1,0,1,0,0.084,0.368,-0.084,0.283,15.6,-0.05,479.0,-2.88,3.0,3780.0,76.0,0.511,1
1.0,0,0,0,0,0.043,0.326,-0.043,0.0295,9.9,-0.46,846.0,-40.34,1.0,5386.0,80.0,1.076,0
1.0,0,0,0,0,0.336,0.111,-0.336,0.0832,21.6,-0.53,392.0,-1.84,2.0,5386.0,80.0,1.076,0
1.0,0,0,0,0,0.568,0.023,-0.45,0.0434,18.8,-0.48,656.0,-14.57,3.0,5386.0,80.0,1.076,0
0.0,0,1,0,0,0.026,0.398,-0.026,0.0196,20.5,-0.25,1266.0,-168.55,1.0,5559.0,194.0,0.803,1
1.0,0,0,0,0,0.595,0.037,-0.453,0.0691,20.2,-0.18,764.0,-21.39,1.0,5749.0,156.0,0.864,0
0.374,1,0,0,0,0.702,0.235,-0.496,0.145,239.0,0.0,161.0,0.0,2.0,2703.0,0.0,0.118,1
1.0,0,0,0,0,0.919,0.026,-0.016,0.0166,18.9,-0.34,690.0,-9.66,1.0,4004.0,79.0,0.606,0
0.962,0,0,0,0,0.016,0.437,-0.016,0.201,33.9,-0.23,318.0,-0.68,2.0,5713.0,138.0,0.893,0
0.989,0,0,0,0,0.763,0.093,-0.53,0.0376,13.2,-0.23,857.0,-27.56,1.0,5105.0,84.0,0.868,0
0.972,0,0,0,0,0.663,0.197,-0.434,0.0469,10.3,-0.25,472.0,-2.8,1.0,5918.0,106.0,1.043,0
0.994,0,0,0,0,0.845,0.073,-0.615,0.0876,22.3,-0.22,596.0,-6.42,2.0,5105.0,84.0,0.868,0
0.971,0,0,0,0,0.795,0.001,-0.566,1.1,4.3,-0.01,491.0,-0.8,4.0,5619.0,93.0,1.406,0
0.559,0,0,0,0,0.934,0.01,-0.661,0.103,15.5,-0.17,722.0,-13.88,3.0,5105.0,84.0,0.868,0
1.0,0,0,0,0,0.055,0.132,-0.055,0.0132,8.4,-1.12,1482.0,-256.49,1.0,6490.0,129.0,2.179,0
1.0,0,0,0,0,0.048,0.235,-0.048,0.0199,15.5,-0.49,760.0,-23.7,1.0,5246.0,158.0,0.805,0
1.0,0,0,0,0,0.468,0.347,-0.276,0.0376,23.8,-0.11,483.0,-2.07,1.0,4200.0,84.0,0.607,0
0.998,0,0,0,0,0.074,0.385,-0.074,0.292,22.6,-0.04,530.0,-3.01,2.0,4200.0,84.0,0.607,0
0.343,0,0,0,0,0.681,0.048,-0.491,0.398,66.0,-0.38,286.0,-0.47,3.0,5933.0,107.0,1.115,0
1.0,0,0,0,0,0.013,0.409,-0.013,0.0405,16.8,-0.39,621.0,-11.94,1.0,5402.0,175.0,0.865,0
0.963,0,0,0,0,0.049,0.394,-0.049,0.17,6.0,-0.08,628.0,-8.67,5.0,5465.0,109.0,0.925,0
1.0,0,0,0,0,0.012,0.391,-0.012,0.0405,16.6,-0.16,553.0,-5.06,1.0,5211.0,141.0,0.689,0
