Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Impact Parameter,mpact Parameter Upper,Impact Parameter Lower,Transit Duration Upper,Transit Depth Upper,Planetary Radius Lower,Equilibrium Temperature,Insolation Flux Lower ,TCE Planet Number,Stellar Effective Temperature,Stellar Effective Temperature Upper,Stellar Radius,Disposition Using Kepler Data
1.0,0,0,0,0,0.597,0.235,-0.367,0.0362,13.3,-0.51,1243.0,-188.14,1.0,6174.0,173.0,1.103,0
1.0,0,0,0,0,0.105,0.264,-0.119,0.00666,11.0,-0.87,1219.0,-97.95,1.0,5532.0,74.0,0.955,0
0.0,0,1,1,0,0.812,0.006,-0.009,0.104,44.3,-0.6,430.0,-2.06,1.0,5040.0,136.0,0.705,1
1.0,0,0,0,0,0.151,0.304,-0.151,0.0677,13.8,-0.2,1147.0,-123.32,1.0,5880.0,157.0,0.917,0
1.0,0,0,0,0,0.405,0.041,-0.405,0.0423,15.2,-0.25,1104.0,-68.33,1.0,5714.0,77.0,1.015,0
1.0,0,0,0,0,0.911,0.009,-0.656,0.073,29.7,-0.31,806.0,-19.39,2.0,5714.0,77.0,1.015,0
1.0,0,0,0,0,0.602,0.25,-0.396,0.0643,36.3,-0.22,489.0,-3.21,1.0,5129.0,154.0,0.763,0
1.0,0,0,0,0,0.866,0.015,-0.621,0.0489,6.3,-0.27,785.0,-22.92,1.0,5854.0,105.0,1.012,0
1.0,0,0,0,0,0.898,0.013,-0.699,0.0384,4.4,-0.23,997.0,-70.6,2.0,5779.0,104.0,1.087,0
0.014,0,1,0,0,0.137,0.346,-0.224,0.0129,37.8,-1.58,967.0,-61.76,1.0,6108.0,183.0,0.956,1
1.0,0,0,0,0,0.001,0.437,-0.001,0.0798,42.0,-0.1,433.0,-1.35,2.0,4126.0,82.0,0.615,0
1.0,0,0,0,0,0.041,0.409,-0.041,0.0517,37.7,-0.11,553.0,-3.59,1.0,4126.0,82.0,0.615,0
1.0,0,0,0,0,0.028,0.437,-0.028,0.126,53.4,-0.09,332.0,-0.47,3.0,4126.0,82.0,0.615,0
1.0,0,0,0,0,0.558,0.13,-0.149,0.035,18.5,-0.52,1023.0,-65.21,1.0,5497.0,166.0,0.809,0
0.999,0,0,0,0,0.911,5.567,-0.118,0.14,230.0,-0.91,467.0,-3.57,1.0,5446.0,179.0,0.781,0
1.0,0,0,0,0,0.915,0.009,-0.63,0.0384,25.6,-0.12,822.0,-20.32,1.0,4149.0,82.0,0.564,0
0.0,0,1,0,0,0.324,0.061,-0.075,0.0145,22.4,-1.95,833.0,-45.01,1.0,5746.0,173.0,0.924,1
1.0,0,0,0,0,0.28,0.189,-0.28,0.0271,13.7,-0.09,1070.0,-40.17,1.0,5005.0,79.0,0.765,0
0.993,0,0,0,0,1.198,49.85,-0.258,0.171,44.1,-0.71,734.0,-8.86,2.0,5005.0,79.0,0.765,0
