,Galaxy,RA,Dec,Type,BT,Ai,v,ɛ,classes,MainClass,SubClass,Class,ClassInt
263,NGC2655,08 49 08,78 24.8,S 1 P,10.95,0.52,1389.0,13.0,Sx,S,1,Spiral,0
264,NGC2672,08 46 31,19 15.6,E 2,12.61,0.0,3983.0,20.0,E2,E,2,Elliptical,1
265,NGC268,00 47 37,-05 28.1,SB R5 1.5,-13.28,0.38,5515.0,83.0,SBx,SB,R5,Spiral,0
266,NGC2681,08 49 58,51 30.2,S 1,11.09,0.48,715.0,24.0,Sx,S,1,Spiral,0
267,NGC2683,08 49 35,33 36.5,S 3 N,10.61,1.19,404.0,50.0,Sx,S,3,Spiral,0
268,NGC2685,08 51 41,58 55.5,L 57 P,11.93,0.0,881.0,7.0,S0,L,57,Irregular,2
269,NGC2693,08 53 25,51 32.3,E 2,12.77,0.0,4956.0,50.0,E2,E,2,Elliptical,1
270,NGC2701,08 55 28,53 58.3,S S5 2.5,12.8,0.42,2325.0,7.0,Sx,S,S5,Spiral,0
271,NGC2712,08 56 09,45 06.6,SB S3 1.0,12.7,0.74,1840.0,200.0,SBx,SB,S3,Spiral,0
272,NGC2713,08 54 44,03 06.8,S S4 1.0,12.6,0.59,3845.0,42.0,Sx,S,S4,Spiral,0
273,NGC2715,09 01 50,78 17.2,S S5 2.0,11.98,0.64,1339.0,4.0,Sx,S,S5,Spiral,0
274,NGC2732,09 06 54,79 23.6,L 18,12.83,0.0,2120.0,40.0,S0,L,18,Irregular,2
275,NGC274,00 48 30,-07 19.7,L 10,12.98,0.0,1759.0,15.0,S0,L,10,Irregular,2
276,NGC2742,09 03 38,60 40.9,S T5 2.0,12.3,0.5,1296.0,20.0,Sx,S,T5,Spiral,0
277,NGC2748,09 08 01,76 40.9,S S5 2.5,12.4,0.61,1489.0,48.0,Sx,S,S5,Spiral,0
278,NGC2749,09 02 33,18 30.8,E 3,13.11,0.0,4229.0,31.0,E3,E,3,Elliptical,1
279,NGC275,00 48 33,-07 20.1,S P T,13.0,0.38,1754.0,6.0,Sx,S,P,Spiral,0
280,NGC2763,09 04 29,-15 17.9,S R5 2.0,12.67,0.31,1887.0,8.0,Sx,S,R5,Spiral,0
281,NGC2764,09 05 27,21 38.7,I 0 R S 3 P,13.4,,2707.0,14.0,I,I,0,Irregular,2
282,NGC2768,09 07 45,60 14.5,L 26,10.99,0.0,1408.0,175.0,Sx,L,26,Irregular,2
283,NGC2775,09 07 41,07 14.5,S R1,11.2,0.0,1336.0,17.0,Sx,S,R1,Spiral,0
284,NGC2776,09 08 56,45 09.6,S S5 1.0,12.2,0.3,2624.0,8.0,Sx,S,S5,Spiral,0
285,NGC278,00 49 15,47 16.8,S S4 2.2,11.51,0.29,642.0,9.0,Sx,S,S4,Spiral,0
286,NGC2781,09 09 06,-14 36.7,S R1,12.44,0.0,2195.0,60.0,Sx,S,R1,Spiral,0
287,NGC2782,09 10 54,40 19.3,S S1 P,12.15,0.59,2551.0,10.0,Sx,S,S1,Spiral,0
288,NGC2784,09 10 06,-23 57.9,L 14,11.21,0.0,708.0,52.0,S0,L,14,Irregular,2
289,NGC2787,09 14 50,69 24.9,SB 0,11.74,0.0,664.0,36.0,SBx,SB,0,Spiral,0
290,NGC2793,09 13 43,34 38.4,S 5 P 3.0,-12.95,0.35,1681.0,3.0,Sx,S,5,Spiral,0
291,NGC2798,09 14 10,42 12.7,SB S1 T,13.0,0.0,1741.0,17.0,SBx,SB,S1,Spiral,0
292,NGC2811,09 13 50,-16 06.2,S 1,12.25,0.49,2514.0,75.0,Sx,S,1,Spiral,0
293,NGC2815,09 14 05,-23 25.5,S S3 1.5,-12.66,1.01,2590.0,115.0,Sx,S,S3,Spiral,0
294,NGC2832,09 16 45,33 57.6,E 3,12.45,0.0,6946.0,50.0,E3,E,3,Elliptical,1
295,NGC2835,09 15 37,-22 08.8,SB T5 1.2,-10.95,0.42,878.0,12.0,SBx,SB,T5,Spiral,0
296,NGC2841,09 18 35,51 11.3,S 3,10.17,0.87,637.0,4.0,Sx,S,3,Spiral,0
297,NGC2844,09 18 37,40 22.0,S R1:,13.65,0.82,1486.0,9.0,Sx,S,R1:,Spiral,0
298,NGC2848,09 17 49,-16 18.8,S S5 2.0,12.65,0.44,2032.0,15.0,Sx,S,S5,Spiral,0
299,NGC2855,09 19 02,-11 41.8,S R1,12.45,0.49,1911.0,35.0,Sx,S,R1,Spiral,0
300,NGC2859,09 21 15,34 43.7,LB33,11.8,0.0,1599.0,20.0,S0,LB33,irrelevant,Spiral,0
301,NGC2865,09 21 14,-22 56.8,E 4,12.36,0.0,2714.0,75.0,E4,E,4,Elliptical,1
302,NGC2880,09 25 42,62 42.7,LB1,12.61,0.0,1514.0,50.0,S0,LB1,irrelevant,Spiral,0
303,NGC2888,09 24 09,-27 49.1,E 2,13.5,0.0,2233.0,168.0,E2,E,2,Elliptical,1
304,NGC2889,09 24 32,-11 25.3,S R3 2.0,12.5,0.5,3417.0,190.0,Sx,S,R3,Spiral,0
305,NGC289,00 50 17,-31 28.7,SB T4 1.5,-11.81,0.4,1818.0,77.0,SBx,SB,T4,Spiral,0
306,NGC2902,09 28 30,-14 31.0,S 10,13.42,0.0,2065.0,98.0,Sx,S,10,Spiral,0
307,NGC2903,09 29 20,21 43.2,S S5 1.5,9.5,0.53,550.0,50.0,Sx,S,S5,Spiral,0
308,NGC2907,09 29 20,-16 30.9,L 56 P,-13.01,0.0,2065.0,83.0,S0,L,56,Irregular,2
309,NGC2911,09 31 05,10 22.6,L 52 R L P,12.6,0.0,3131.0,32.0,S0,L,52,Irregular,2
310,NGC2924,09 32 49,-16 10.6,E 0,13.28,0.0,4615.0,35.0,E0,E,0,Elliptical,1
311,NGC2935,09 34 27,-20 54.2,SB S3 1.2,-12.0,0.54,2258.0,15.0,SBx,SB,S3,Spiral,0
312,NGC2942,09 36 08,34 14.0,S S5 1.3,-12.79,0.36,4414.0,20.0,Sx,S,S5,Spiral,0
313,NGC2950,09 38 59,59 04.8,LB4,11.82,0.0,1375.0,31.0,S0,LB4,irrelevant,Spiral,0
314,NGC2955,09 38 15,36 06.6,S S5 1.0,13.45,0.51,7056.0,85.0,Sx,S,S5,Spiral,0
315,NGC2962,09 38 17,05 23.6,LB3,12.78,0.0,2117.0,20.0,S0,LB3,irrelevant,Spiral,0
316,NGC2964,09 39 56,32 04.6,S S5 2.2,12.06,0.49,1319.0,18.0,Sx,S,S5,Spiral,0
317,NGC2967,09 39 29,00 33.9,S T5 1.5,12.3,0.3,2245.0,60.0,Sx,S,T5,Spiral,0
318,NGC2968,09 40 15,32 09.6,I 0 R L 5 P,12.8,,1603.0,93.0,I,I,0,Irregular,2
319,NGC2974,09 40 02,-03 28.1,E 4,11.78,0.0,2011.0,35.0,E4,E,4,Elliptical,1
320,NGC2976,09 43 10,68 08.9,S 7 3.5,10.85,0.53,13.0,14.0,Sx,S,7,Spiral,0
321,NGC2983,09 41 22,-20 14.8,SB 1,12.57,0.0,2015.0,100.0,SBx,SB,1,Spiral,0
322,NGC2985,09 45 54,72 30.7,S S2,11.21,0.56,1277.0,50.0,Sx,S,S2,Spiral,0
323,NGC2986,09 41 57,-21 02.9,E 2,12.04,0.0,2397.0,100.0,E2,E,2,Elliptical,1
324,NGC2989,09 43 04,-18 08.6,S S5 1.0,-13.42,0.38,4166.0,55.0,Sx,S,S5,Spiral,0
325,NGC2990,09 43 40,05 56.6,S 5 2.0:,13.2,0.49,3164.0,58.0,Sx,S,5,Spiral,0
326,NGC2992,09 43 18,-14 05.7,S 1 T,12.8,1.05,2200.0,36.0,Sx,S,1,Spiral,0
327,NGC2993,09 43 23,-14 08.1,S 2 T,13.1,0.56,2105.0,46.0,Sx,S,2,Spiral,0
328,NGC2997,09 43 27,-30 57.7,S S5 1.3,10.32,0.37,1081.0,7.0,Sx,S,S5,Spiral,0
329,NGC2998,09 45 35,44 19.0,S T5 1.0,-12.65,0.53,4777.0,8.0,Sx,S,T5,Spiral,0
330,NGC300,00 52 31,-37 57.4,S 5 2.8,8.7,0.39,145.0,2.0,Sx,S,5,Spiral,0
331,NGC3001,09 44 07,-30 12.4,SB S4 1.5,12.72,0.42,2451.0,15.0,SBx,SB,S4,Spiral,0
332,NGC3003,09 45 37,33 39.2,S 5 : 3.0:,12.17,0.75,1481.0,7.0,Sx,S,5,Spiral,0
333,NGC3021,09 47 59,33 47.1,S S4 2.0,-13.07,0.46,1540.0,15.0,Sx,S,S4,Spiral,0
334,NGC3031,09 51 30,69 18.3,S R3 1.5,7.86,0.78,-36.0,5.0,Sx,S,R3,Spiral,0
335,NGC3032,09 49 14,29 28.3,S 52 0,12.55,0.0,1535.0,14.0,Sx,S,52,Spiral,0
336,NGC3034,09 51 41,69 54.9,I 0,9.28,,247.0,2.0,I,I,0,Irregular,2
337,NGC3038,09 49 05,-32 31.1,S S3 2.0,12.65,0.33,2698.0,80.0,Sx,S,S3,Spiral,0
338,NGC3041,09 50 23,16 54.8,S T5 2.0,12.25,0.44,1403.0,12.0,Sx,S,T5,Spiral,0
339,NGC3043,09 52 42,59 32.7,,-12.46,,2935.0,128.0,SBx,nan,irrelevant,Irregular,2
340,NGC3044,09 51 06,01 49.0,S 6 O,12.55,0.87,1384.0,29.0,Sx,S,6,Spiral,0
341,NGC3052,09 52 07,-18 24.3,S R5 2.0,-12.84,0.39,3616.0,113.0,Sx,S,R5,Spiral,0
342,NGC3054,09 52 12,-25 28.0,SB S4 1.0,-12.13,0.44,2194.0,84.0,SBx,SB,S4,Spiral,0
343,NGC3055,09 52 41,04 30.4,S S5 2.0,12.7,0.46,1913.0,139.0,Sx,S,S5,Spiral,0
344,NGC3056,09 52 18,-28 03.8,L 25,12.83,0.0,1047.0,120.0,S0,L,25,Irregular,2
345,NGC3059,09 49 41,-73 41.2,SB S5 3.0,12.03,0.31,1274.0,33.0,SBx,SB,S5,Spiral,0
346,NGC3065,09 57 35,72 24.6,L 30,12.89,0.0,2008.0,40.0,S0,L,30,Irregular,2
347,NGC3067,09 55 26,32 36.5,S S3 3.0,12.7,0.94,1456.0,25.0,Sx,S,S3,Spiral,0
348,NGC3077,09 59 22,68 58.5,I 0,10.64,,7.0,3.0,I,I,0,Irregular,2
349,NGC3078,09 56 08,-26 41.2,E 3,12.14,0.0,2492.0,29.0,E3,E,3,Elliptical,1
350,NGC3079,09 58 35,55 55.4,S 5 F,11.2,0.85,1130.0,9.0,Sx,S,5,Spiral,0
351,NGC3081,09 57 11,-22 35.1,SB S1,12.68,0.0,2413.0,33.0,SBx,SB,S1,Spiral,0
352,NGC3087,09 56 59,-33 59.0,E 2,-12.87,0.0,2662.0,65.0,E2,E,2,Elliptical,1
353,NGC3089,09 57 22,-28 05.1,S S5 2.0,-13.09,0.41,2653.0,58.0,Sx,S,S5,Spiral,0
354,NGC309,00 54 13,-10 11.3,S R5 1.0,12.4,0.33,5666.0,8.0,Sx,S,R5,Spiral,0
355,NGC3091,09 57 53,-19 23.8,E 3,12.5,0.0,3882.0,93.0,E3,E,3,Elliptical,1
356,NGC3095,09 57 53,-31 18.8,S S5 P 1.5,12.52,0.42,2849.0,22.0,Sx,S,S5,Spiral,0
357,NGC3098,09 59 27,24 57.2,L 19,12.85,0.0,1340.0,75.0,S0,L,19,Irregular,2
358,NGC3109,10 00 47,-25 54.8,S 9 4.0,-10.39,0.41,403.0,1.0,Sx,S,9,Spiral,0
359,NGC3115,10 02 44,-07 28.5,L 17,9.98,0.0,655.0,8.0,S0,L,17,Irregular,2
360,NGC3124,10 04 17,-18 58.3,SB R4 1.0,-12.35,0.34,3563.0,11.0,SBx,SB,R4,Spiral,0
361,NGC3125,10 04 18,-29 41.5,I 0,-13.12,,1110.0,50.0,I,I,0,Irregular,2
362,NGC3136,10 04 30,-67 07.8,E 4,12.09,0.0,1696.0,93.0,E4,E,4,Elliptical,1
363,NGC3145,10 07 43,-12 11.3,SB T4 1.0,-12.35,0.52,3651.0,11.0,SBx,SB,T4,Spiral,0
